personid,vehicleid,crashid,personinvolvementcd,sex,dob,personalinjurylevel,seatlocationcd,transportedind,ejectionind,airbagcd,alcoholuseind,pedestrianlocationcd,pedestriantype,pedestrianschoolinfoind,ageatcrash,contribcirccd1,contribcirccd2,contribcirccd3,contribcirccd4,contribcirccd5,contribcirccd6,contribcirccd7,contribcirccd8,contribcirccd9,contribcirccd10,contribcirccd11,contribcirccd12,distractioncd1,distractioncd2,distractioncd3,distractioncd4,pedestrianactioncd1,pedestrianactioncd2,pedestrianactioncd3,pedestrianactioncd4,pedestrianactioncd5,safetydevicecd1,safetydevicecd2
2130035558V1P1I01   ,2130035558V1 ,2130035558,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,5,,,,,,,,,,,,,,,,,,,,,U ,
0130075653V1P1I01   ,0130075653V1 ,130075653,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,17,21,33,,,,,,,,,,1,,,,,,,,,U ,
2130024080V3P3I01   ,2130024080V3 ,2130024080,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
2130000261V2P2I01   ,2130000261V2 ,2130000261,1,U,9/11/82,5,FL,1,2,3,N ,NA,N ,  ,30,22,,,,,,,,,,,,,,,,,,,,,5,
0130024167V1P1I01   ,0130024167V1 ,130024167,1,U,0001-01-01,5,FL,1,2,5,U ,NA,  ,  ,999,5,,,,,,,,,,,,,,,,,,,,,U ,
0130027167V2P1I01   ,0130027167V2 ,130027167,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130043132V1P1I01   ,0130043132V1 ,130043132,1,U,0001-01-01,5,FL,1,2,10,U ,NA,  ,  ,999,12,,,,,,,,,,,,,,,,,,,,,U ,
2130035924V2P3I01   ,2130035924V2 ,2130035924,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,4,13,,,,,,,,,,,,,,,,,,,,U ,
2130016140V1P1I01   ,2130016140V1 ,2130016140,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
3130023723V1P1I01   ,3130023723V1 ,3130023723,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130068451V1P1I01   ,0130068451V1 ,130068451,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
3130026247V2P3I01   ,3130026247V2 ,3130026247,1,U,0001-01-01,U,FL,1,2,U ,U ,NA,  ,  ,999,22,,,,,,,,,,,,,,,,,,,,,U ,
2130015460V1P1I01   ,2130015460V1 ,2130015460,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,6,,,,,,,,,,,,,,,,,,,,,U ,
0130019600V1P1I01   ,0130019600V1 ,130019600,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,22,,,,,,,,,,,,,,,,,,,,,U ,
0130032357V1P1I01   ,0130032357V1 ,130032357,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
2130019435V1P1I01   ,2130019435V1 ,2130019435,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130027777V2P1I01   ,0130027777V2 ,130027777,1,U,0001-01-01,U,FL,1,2,U ,N ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130086467V2P1I01   ,0130086467V2 ,130086467,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130038349V1P1I01   ,0130038349V1 ,130038349,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130057350V1P1I01   ,0130057350V1 ,130057350,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
3130004937V1P1I01   ,3130004937V1 ,3130004937,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
2130027125V1P1I01   ,2130027125V1 ,2130027125,1,U,0001-01-01,U,NA,U ,U ,  ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130031857V1P1I01   ,0130031857V1 ,130031857,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130020071V2P3I01   ,2130020071V2 ,2130020071,1,U,2/4/59,5,FL,1,2,1,N ,NA,N ,  ,54,U ,,,,,,,,,,,,,,,,,,,,,5,
0130018257V1P1I01   ,0130018257V1 ,130018257,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,6,,,,,,,,,,,,,,,,,,,,,,
0130056453V1P1I01   ,0130056453V1 ,130056453,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,22,,,,,,,,,,,,,,,,,,,,,,
0130012127V1P1I01   ,0130012127V1 ,130012127,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
2130023611V1P1I01   ,2130023611V1 ,2130023611,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,21,,,,,,,,,,,,1,,,,,,,,,U ,
0130064506V1P1I01   ,0130064506V1 ,130064506,1,U,0001-01-01,U,FL,NA,NA,  ,N ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130048714V1P1I01   ,0130048714V1 ,130048714,1,U,0001-01-01,U,FL,1,2,1,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130042192V1P1I01   ,0130042192V1 ,130042192,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130057407V1P1I01   ,0130057407V1 ,130057407,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
3130018319V2P3I01   ,3130018319V2 ,3130018319,1,U,0001-01-01,U,XX,1,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130017013V1P1I01   ,2130017013V1 ,2130017013,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130081862V1P1I01   ,0130081862V1 ,130081862,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130001225V1P1I01   ,2130001225V1 ,2130001225,1,U,0001-01-01,U,NA,U ,U ,  ,U ,NA,N ,  ,999,5,,,,,,,,,,,,,,,,,,,,,,
0130045231V1P1I01   ,0130045231V1 ,130045231,1,U,3/16/84,5,FL,1,2,3,N ,NA,  ,  ,29,U ,,,,,,,,,,,,,,,,,,,,,5,
2130019519V1P1I01   ,2130019519V1 ,2130019519,1,U,3/4/47,5,FL,1,2,3,N ,NA,N ,  ,66,22,,,,,,,,,,,,,,,,,,,,,5,
0130025051V1P1I01   ,0130025051V1 ,130025051,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,11,21,,,,,,,,,,,2,3,,,,,,,,,
0130075457V1P1I01   ,0130075457V1 ,130075457,1,U,0001-01-01,5,FL,1,2,3,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130064672V1P1I01   ,0130064672V1 ,130064672,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,11,,,,,,,,,,,,,,,,,,,,,U ,
0130049948V1P1I01   ,0130049948V1 ,130049948,1,U,0001-01-01,U,FL,1,2,3,U ,NA,  ,  ,999,21,,,,,,,,,,,,15,,,,,,,,,U ,
2130018561V2P3I01   ,2130018561V2 ,2130018561,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
3130021986V1P1I01   ,3130021986V1 ,3130021986,1,U,0001-01-01,U,FL,1,2,1,U ,NA,  ,  ,999,1,,,,,,,,,,,,,,,,,,,,,U ,
2130028150V1P1I01   ,2130028150V1 ,2130028150,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,4,,,,,,,,,,,,,,,,,,,,,U ,
0130047046V1P1I01   ,0130047046V1 ,130047046,1,U,0001-01-01,U,FL,NA,NA,  ,N ,NA,  ,  ,999,33,,,,,,,,,,,,,,,,,,,,,,
0130069458V1P1I01   ,0130069458V1 ,130069458,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130051553V1P1I01   ,0130051553V1 ,130051553,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,11,,,,,,,,,,,,,,,,,,,,,,
0130048684V1P2I01   ,0130048684V1 ,130048684,1,U,0001-01-01,U,FL,1,2,3,U ,NA,  ,  ,999,7,,,,,,,,,,,,,,,,,,,,,U ,
0130050715V1P1I01   ,0130050715V1 ,130050715,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
3130017472V1P1I01   ,3130017472V1 ,3130017472,1,U,0001-01-01,U,FL,1,2,U ,U ,NA,  ,  ,999,9,,,,,,,,,,,,,,,,,,,,,U ,
0130081235V2P1I01   ,0130081235V2 ,130081235,1,U,0001-01-01,U,FL,1,U ,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130061006V1P1I01   ,0130061006V1 ,130061006,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,  ,  ,999,17,,,,,,,,,,,,,,,,,,,,,U ,
2130015005V1P1I01   ,2130015005V1 ,2130015005,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,4,,,,,,,,,,,,,,,,,,,,,U ,
0130020423V1P2I01   ,0130020423V1 ,130020423,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130082159V1P1I01   ,0130082159V1 ,130082159,1,U,0001-01-01,U,FL,1,2,10,U ,NA,  ,  ,999,5,,,,,,,,,,,,,,,,,,,,,U ,
0130021750V1P1I01   ,0130021750V1 ,130021750,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,1,,,,,,,,,,,,,,,,,,,,,U ,
3130013613V2P4I01   ,3130013613V2 ,3130013613,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130042225V1P1I01   ,0130042225V1 ,130042225,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,9,,,,,,,,,,,,,,,,,,,,,,
0130023855V1P1I01   ,0130023855V1 ,130023855,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130029412V1P1I01   ,0130029412V1 ,130029412,1,U,0001-01-01,U,FL,NA,NA,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130033245V3P4I01   ,2130033245V3 ,2130033245,1,U,5/7/93,5,FL,1,2,3,N ,NA,N ,  ,20,22,,,,,,,,,,,,,,,,,,,,,5,
2130023248V1P1I01   ,2130023248V1 ,2130023248,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,9,,,,,,,,,,,,,,,,,,,,,U ,
0130042834V1P1I01   ,0130042834V1 ,130042834,1,U,0001-01-01,U,FL,NA,NA,  ,Y ,NA,  ,  ,999,18,,,,,,,,,,,,,,,,,,,,,,
0130063980V1P1I01   ,0130063980V1 ,130063980,1,U,4/30/56,5,FL,1,2,3,N ,NA,  ,  ,57,9,,,,,,,,,,,,,,,,,,,,,5,
0130051953V1P1I01   ,0130051953V1 ,130051953,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130012526V1P1I01   ,2130012526V1 ,2130012526,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,4,9,,,,,,,,,,,,,,,,,,,,U ,
0130063834V1P2I01   ,0130063834V1 ,130063834,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130039159V2P1I01   ,0130039159V2 ,130039159,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130082480V1P1I01   ,0130082480V1 ,130082480,1,U,0001-01-01,5,FL,1,2,3,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
2130014867V2P3I01   ,2130014867V2 ,2130014867,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
3130014023V1P1I01   ,3130014023V1 ,3130014023,1,U,0001-01-01,U,FL,U ,U ,5,U ,NA,  ,  ,999,13,8,,,,,,,,,,,,,,,,,,,,U ,
0130075622V1P1I01   ,0130075622V1 ,130075622,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,9,,,,,,,,,,,,,,,,,,,,,,
0130055831V1P1I01   ,0130055831V1 ,130055831,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130030523V1P1I01   ,2130030523V1 ,2130030523,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,11,,,,,,,,,,,,,,,,,,,,,U ,
0130031946V1P1I01   ,0130031946V1 ,130031946,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,6,,,,,,,,,,,,,,,,,,,,,,
2130015601V1P1I01   ,2130015601V1 ,2130015601,1,U,0001-01-01,U,NA,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130013870V1P1I01   ,0130013870V1 ,130013870,1,U,0001-01-01,5,FL,1,NA,3,U ,NA,  ,  ,999,9,,,,,,,,,,,,,,,,,,,,,U ,
3130022410V3P6I01   ,3130022410V3 ,3130022410,1,U,0001-01-01,N,NA,NA,NA,  ,U ,NA,  ,  ,999,22,,,,,,,,,,,,,,,,,,,,,U ,
2130011636V2P3I01   ,2130011636V2 ,2130011636,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,4,17,,,,,,,,,,,,,,,,,,,,U ,
0130020980V1P1I01   ,0130020980V1 ,130020980,1,U,0001-01-01,U,FL,NA,NA,  ,Y ,NA,  ,  ,999,18,,,,,,,,,,,,,,,,,,,,,,
0130060705V1P1I01   ,0130060705V1 ,130060705,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130034131V1P1I01   ,0130034131V1 ,130034131,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130061611V1P1I01   ,0130061611V1 ,130061611,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,4,,,,,,,,,,,,,,,,,,,,,U ,
0130044867V1P1I01   ,0130044867V1 ,130044867,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,6,,,,,,,,,,,,,,,,,,,,,,
0130028356V1P1I01   ,0130028356V1 ,130028356,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,22,,,,,,,,,,,,,,,,,,,,,U ,
0130025923V1P1I01   ,0130025923V1 ,130025923,1,U,0001-01-01,U,FL,NA,NA,  ,N ,NA,  ,  ,999,21,,,,,,,,,,,,,,,,,,,,,,
2130003469V2P3I01   ,2130003469V2 ,2130003469,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,9,,,,,,,,,,,,,,,,,,,,,U ,
3130025220V1P1I01   ,3130025220V1 ,3130025220,1,U,0001-01-01,U,FL,U ,2,3,U ,NA,  ,  ,999,13,28,,,,,,,,,,,,,,,,,,,,U ,
0130038473V2P1I01   ,0130038473V2 ,130038473,1,U,0001-01-01,U,FL,NA,NA,  ,N ,NA,  ,  ,999,22,,,,,,,,,,,,,,,,,,,,,,
2130005415V2P3I01   ,2130005415V2 ,2130005415,1,U,0001-01-01,U,XX,U ,U ,U ,N ,NA,N ,  ,999,7,,,,,,,,,,,,,,,,,,,,,U ,
0130011511V1P1I01   ,0130011511V1 ,130011511,1,U,0001-01-01,U,FL,1,2,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130020600V1P1I01   ,0130020600V1 ,130020600,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,13,12,17,5,,,,,,,,,,,,,,,,,,,
0130050731V1P1I01   ,0130050731V1 ,130050731,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130002091V1P1I01   ,2130002091V1 ,2130002091,1,U,0001-01-01,U,XX,U ,U ,U ,N ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130033750V1P1I01   ,0130033750V1 ,130033750,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130027719V1P1I01   ,0130027719V1 ,130027719,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130055038V1P1I01   ,0130055038V1 ,130055038,1,U,0001-01-01,U,FL,1,2,3,U ,NA,  ,  ,999,13,21,,,,,,,,,,,15,,,,,,,,,U ,
0130057387V1P1I01   ,0130057387V1 ,130057387,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,9,,,,,,,,,,,,,,,,,,,,,,
0130075501V1P1I01   ,0130075501V1 ,130075501,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,5,7,,,,,,,,,,,,,,,,,,,,U ,
0130051070V1P2I01   ,0130051070V1 ,130051070,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130076685V1P1I01   ,0130076685V1 ,130076685,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,5,,,,,,,,,,,,,,,,,,,,,U ,
3130013677V2P4I01   ,3130013677V2 ,3130013677,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,30,,,,,,,,,,,,,,,,,,,,,U ,
0130024519V2P1I01   ,0130024519V2 ,130024519,1,U,0001-01-01,U,FL,1,2,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
3130005135V1P1I01   ,3130005135V1 ,3130005135,1,U,0001-01-01,U,FL,U ,2,U ,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130049787V1P1I01   ,0130049787V1 ,130049787,1,U,0001-01-01,U,FL,1,2,U ,U ,NA,  ,  ,999,11,,,,,,,,,,,,,,,,,,,,,U ,
3130015541V1P1I01   ,3130015541V1 ,3130015541,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,32,,,,,,,,,,,,,,,,,,,,,U ,
0130046667V1P1I01   ,0130046667V1 ,130046667,1,U,0001-01-01,U,FL,1,2,5,U ,NA,  ,  ,999,5,,,,,,,,,,,,,,,,,,,,,U ,
0130062353V1P1I01   ,0130062353V1 ,130062353,1,U,0001-01-01,U,FL,1,2,3,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130026325V1P1I01   ,0130026325V1 ,130026325,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,4,5,,,,,,,,,,,,,,,,,,,,U ,
0130015725V1P1I01   ,0130015725V1 ,130015725,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130068194V1P1I01   ,0130068194V1 ,130068194,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130075268V1P1I01   ,0130075268V1 ,130075268,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,9,,,,,,,,,,,,,,,,,,,,,,
0130012413V1P1I01   ,0130012413V1 ,130012413,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130072390V1P1I01   ,0130072390V1 ,130072390,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130023117V1P1I01   ,2130023117V1 ,2130023117,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,7,,,,,,,,,,,,,,,,,,,,,U ,
0130081209V1P1I01   ,0130081209V1 ,130081209,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130049350V3P1I01   ,0130049350V3 ,130049350,1,U,0001-01-01,U,FL,1,2,U ,U ,NA,  ,  ,999,22,,,,,,,,,,,,,,,,,,,,,U ,
0130062384V1P1I01   ,0130062384V1 ,130062384,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,6,,,,,,,,,,,,,,,,,,,,,U ,
0130039465V1P1I01   ,0130039465V1 ,130039465,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130064187V1P1I01   ,0130064187V1 ,130064187,1,U,0001-01-01,U,FL,U ,U ,1,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130005719V1P1I01   ,2130005719V1 ,2130005719,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
2130004507V1P1I01   ,2130004507V1 ,2130004507,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
